 A(*, *)
 matr[           1 ,            1 ] =                  (612.567034162682146487505470133078925,0.00000000000000000000000000000000000)
 matr[           1 ,            2 ] =                 (-103.124998509883880615234375000000000,0.00000000000000000000000000000000000)
 matr[           1 ,            3 ] =                 (-1805184.79474632435011049284682685848,0.00000000000000000000000000000000000)
 matr[           1 ,            4 ] =                  (497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
 matr[           1 ,            5 ] =                  (497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
 matr[           1 ,            6 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,            7 ] =                 (-497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
 matr[           1 ,            8 ] =                  (497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
 matr[           1 ,            9 ] =                 (-12.1212122963589219809867682744050500,0.00000000000000000000000000000000000)
 matr[           1 ,           10 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           11 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           12 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           13 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           14 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           15 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           16 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           17 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           18 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           19 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           20 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           21 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           22 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           23 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           24 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           25 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           26 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           27 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           28 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           29 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           30 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           31 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           32 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           33 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           34 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           35 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           36 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           37 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           38 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           39 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           1 ,           40 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,            1 ] =                 (-103.124998509883880615234375000000000,0.00000000000000000000000000000000000)
 matr[           2 ,            2 ] =                  (612.567034162682146487505470133078925,0.00000000000000000000000000000000000)
 matr[           2 ,            3 ] =                 (-1805184.79474632435011049284682685848,0.00000000000000000000000000000000000)
 matr[           2 ,            4 ] =                  (497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
