 A(*, *)
 matr[           1 ,            1 ] =               (-214.39874279733354,0.0000000000000000)
 matr[           1 ,            2 ] =                (4.2539061270654210,0.0000000000000000)
 matr[           1 ,            3 ] =                (744638.71707311890,0.0000000000000000)
 matr[           1 ,            4 ] =               (-205.14483667026812,0.0000000000000000)
 matr[           1 ,            5 ] =               (-205.14483667026812,0.0000000000000000)
 matr[           1 ,            6 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,            7 ] =                (205.14483667026812,0.0000000000000000)
 matr[           1 ,            8 ] =               (-205.14483667026812,0.0000000000000000)
 matr[           1 ,            9 ] =                (5.0000000000000000,0.0000000000000000)
 matr[           1 ,           10 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           11 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           12 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           13 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           14 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           15 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           16 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           17 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           18 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           19 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           20 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           21 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           22 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           23 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           24 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           25 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           26 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           27 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           28 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           29 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           30 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           31 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           32 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           33 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           34 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           35 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           36 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           37 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           38 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           39 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           1 ,           40 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           2 ,            1 ] =                (4.2539061270654210,0.0000000000000000)
 matr[           2 ,            2 ] =               (-214.39874279733354,0.0000000000000000)
 matr[           2 ,            3 ] =                (744638.71707311890,0.0000000000000000)
 matr[           2 ,            4 ] =               (-205.14483667026812,0.0000000000000000)
 matr[           2 ,            5 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           2 ,            6 ] =               (-205.14483667026812,0.0000000000000000)
 matr[           2 ,            7 ] =                (205.14483667026812,0.0000000000000000)
